"group","metabolite"
1,"TMEM259"
1,"ALDH16A1"
1,"HLA-DQA1"
1,"ZNF521"
1,"HOXC4"
1,"C20orf202"
1,"STRA6"
1,"UPK1B"
1,"BTC"
1,"CLTA"
1,"SLC7A4"
1,"HEBP2"
1,"PSMB8"
1,"RAB6D"
1,"DPY19L3-DT"
1,"ZMYND15"
1,"ADAM28"
1,"UMPS"
1,"MESP1"
1,"DBNDD2"
1,"GIPC1"
1,"HLA-C"
1,"RAB3D"
1,"LINC00942"
1,"VMO1"
1,"CC2D1A"
1,"UCK2"
1,"KLHDC7A"
1,"LYPD3"
1,"CAP1P1"
1,"ACOXL-AS1"
1,"FBLN1"
1,"SNHG31"
1,"LY6S"
1,"PBX1"
1,"FAM86DP"
1,"UGT1A6"
1,"OCLN"
1,"EBF1"
1,"HSH2D"
1,"INPP5K"
1,"TSPAN7"
1,"ACKR2"
1,"ADM2"
1,"PIEZO1"
1,"ANTKMT"
1,"HBEGF"
1,"B3GNT8"
1,"KLK12"
1,"RIPOR3"
1,"STRIP1"
1,"CRYBG2"
1,"MINDY2-DT"
1,"HGF"
1,"SPEGNB"
1,"NUP50-DT"
1,"PWWP2B"
1,"MDK"
1,"STK40"
1,"TAFA5"
1,"FOXO6"
1,"SOX9"
1,"LINC00648"
1,"HRC"
1,"GLRX"
1,"NRTN"
1,"CRB3"
1,"MFAP1"
1,"GPR162"
1,"FAM131C"
1,"MVP"
1,"GDPGP1"
1,"TNFSF13"
1,"DHX35"
1,"GRHL1"
1,"PITPNM3"
1,"SLC27A5"
1,"RNU6-388P"
1,"TMEM88B"
1,"FAF2P1"
1,"APOLD1"
1,"TMEM132A"
1,"C9orf152"
1,"MRPS31P5"
1,"TCHH"
1,"CA11"
1,"MRPL55"
1,"NINL"
1,"FBXL6"
1,"GPR137C"
1,"LINC01291"
1,"TSEN54"
1,"FOXC1"
1,"FBXW10B"
1,"LAMP3"
1,"PITPNA"
1,"PRMT7"
1,"ANKRD24"
1,"RDH10"
1,"TBC1D9B"
1,"C1orf210"
1,"CLDN23"
1,"LINC01132"
1,"SLC22A31"
1,"RBBP4P2"
1,"OSGIN2"
1,"SOCS5P4"
1,"PLAAT2"
1,"PLAGL2"
1,"SOSTDC1"
1,"OR7E116P"
1,"LYRM4-AS1"
1,"CNTNAP4"
1,"CX3CL1"
1,"GRB7"
1,"HNRNPA1L3"
1,"LOC105373422"
1,"AMIGO1"
1,"TNRC6C"
1,"DUXAP9"
1,"SYT7"
1,"SCEL"
1,"TMC5"
1,"HNRNPA3P5"
1,"WDR77"
1,"CLCN3"
1,"DTNB"
1,"ENPP4"
1,"TMCO4"
1,"ZEB1"
1,"SCAMP2"
1,"RNF130"
1,"PALM"
1,"TTC39A-AS1"
1,"DUS2"
1,"ENTREP1"
1,"TRAPPC12"
1,"RECQL5"
1,"H2BC21"
1,"HES4"
1,"PAGE1"
